trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",25,0,-37.86729767239512,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",20,14,13.165178600782784,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,0,-0.030179797919691054,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,18,8.843903369361056,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,10,2.8477813904714324,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",25,2,-9.254201448629695,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",30,13,0.0248128028546879,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",30,16,-54.065626930488726,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,0,-17.67252653328902,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,13,8.119843974185601,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,14,-20.06030362165331,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",30,10,-14.888616062598064,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,3,13.093466838436187,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,9,5.801192051509576,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,0,-44.58848130275733,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",30,15,-20.430543817436956,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,0,-41.10315171646026,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,8,10.67996181476725,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,6,3.274063697654298,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,14,14.24546675899525,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",30,0,-36.388899649095826,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",35,13,-19.938962241699134,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
